"date","browser","browser_version","visitors","visits","visit_duration","bounces","pageviews"
"2026-04-01","Safari","26.4",1,1,0,1,1
"2026-04-01","Chrome","69.0",1,1,0,1,1
"2026-04-01","Chrome","138.0",1,1,0,1,1
"2026-04-01","Safari","18.6",2,2,0,2,2
"2026-04-01","Chrome","104.0",1,1,0,1,1
"2026-04-01","Chrome","143.0",1,1,0,1,1
"2026-04-01","Chrome","141.0",1,1,0,1,1
"2026-04-01","Chrome","111.0",1,1,0,1,1
"2026-04-01","Chrome","145.0",2,2,0,2,2
"2026-04-02","Chrome","131.0",2,2,0,2,2
"2026-04-02","Safari","26.3",1,1,0,1,1
"2026-04-02","Safari","18.5",1,1,355,0,2
"2026-04-02","Safari","17.4",1,1,0,1,1
"2026-04-02","Chrome","110.0",1,1,0,1,1
"2026-04-02","Chrome","146.0",3,4,0,4,4
"2026-04-02","Chrome","112.0",2,2,0,2,2
"2026-04-02","Mobile App","",2,2,0,2,2
"2026-04-02","Chrome","69.0",1,1,0,1,1
"2026-04-02","Safari","26.4",1,1,0,1,1
"2026-04-02","Safari","18.6",2,2,0,2,2
"2026-04-02","Microsoft Edge","146.0",2,2,0,2,2
"2026-04-02","Chrome","117.0",1,1,0,1,1
"2026-04-03","Safari","26.1",1,1,0,1,1
"2026-04-03","Chrome","135.0",1,1,0,1,1
"2026-04-03","Safari","18.5",1,1,0,1,1
"2026-04-03","Safari","26.3",2,2,0,2,2
"2026-04-03","Chrome","131.0",1,1,0,1,1
"2026-04-03","Chrome","109.0",1,1,0,1,1
"2026-04-03","","",1,2,0,2,2
"2026-04-03","Microsoft Edge","146.0",1,1,0,1,1
"2026-04-03","Firefox","137.0",1,1,0,1,1
"2026-04-03","Chrome","110.0",1,1,0,1,1
"2026-04-03","Chrome","140.0",2,2,31,0,6
"2026-04-03","Mobile App","",1,1,0,1,1
"2026-04-03","Chrome","142.0",4,4,0,4,4
"2026-04-03","Chrome","146.0",5,5,0,5,5
"2026-04-03","Chrome","112.0",1,1,0,1,1
"2026-04-03","Safari","26.2",1,1,0,1,1
"2026-04-03","Chrome","138.0",2,2,0,2,2
"2026-04-03","Chrome","69.0",2,2,0,2,2
"2026-04-03","Chrome","104.0",1,1,0,1,1
"2026-04-03","Ecosia","145.0",1,1,0,1,1
"2026-04-03","Chrome","141.0",1,1,0,1,1
"2026-04-04","","",2,2,0,2,2
"2026-04-04","Safari","26.1",1,1,0,1,1
"2026-04-04","Chrome","139.0",2,2,0,2,2
"2026-04-04","Smart Lenovo Browser","9.0",1,1,0,1,1
"2026-04-04","Chrome","142.0",1,1,0,1,1
"2026-04-04","Mobile App","",1,1,0,1,1
"2026-04-04","Chrome","116.0",1,1,0,1,1
"2026-04-04","Chrome","112.0",1,1,0,1,1
"2026-04-04","Microsoft Edge","146.0",1,1,0,1,1
"2026-04-04","Chrome","146.0",3,3,0,3,3
"2026-04-04","Firefox","138.0",1,1,0,1,1
"2026-04-04","Safari","26.4",2,2,0,2,2
"2026-04-04","Chrome","106.0",1,1,0,1,1
"2026-04-04","Chrome","104.0",1,1,0,1,1
"2026-04-04","Microsoft Edge","117.0",1,1,0,1,1
"2026-04-04","Chrome","119.0",1,1,0,1,1
"2026-04-05","Chrome","103.0",1,1,0,1,1
